file,frequency,language,competence,source,target
EN_1_57.head.txt,19.0476190476,EN,learner,19.0476190476,31.8181818182
EN_1_58.head.txt,4.6511627907,EN,learner,4.6511627907,6.976744186
EN_1_59.head.txt,0,EN,learner,0,0
EN_1_6.head.txt,8.8235294118,EN,learner,8.8235294118,34.4827586207
EN_1_60.head.txt,30,EN,learner,30,40
EN_1_65.head.txt,0,EN,learner,0,0
EN_1_66.head.txt,9.4926350245,EN,learner,9.4926350245,14.7208121827
EN_1_67.head.txt,10.8391608392,EN,learner,10.8391608392,15.4513888889
EN_1_68.head.txt,9.0909090909,EN,learner,9.0909090909,8.0808080808
EN_1_69.head.txt,8.547008547,EN,learner,8.547008547,12.3966942149
EN_1_7.head.txt,0,EN,learner,0,0
EN_1_75.head.txt,0,EN,learner,0,0
EN_1_76.head.txt,5,EN,learner,5,13.6363636364
EN_1_79.head.txt,15.625,EN,learner,15.625,14.7058823529
EN_1_8.head.txt,13.3333333333,EN,learner,13.3333333333,21.0526315789
EN_1_80.head.txt,13.3333333333,EN,learner,13.3333333333,12.5
EN_1_82.head.txt,8.3333333333,EN,learner,8.3333333333,23.0769230769
EN_1_83.head.txt,0,EN,learner,0,4.347826087
EN_1_84.head.txt,10.8695652174,EN,learner,10.8695652174,25
EN_1_85.head.txt,11.7647058824,EN,learner,11.7647058824,16.6666666667
EN_1_86.head.txt,8.3333333333,EN,learner,8.3333333333,18.1818181818
EN_1_88.head.txt,35.3773584906,EN,learner,35.3773584906,31.9248826291
EN_1_89.head.txt,22.4719101124,EN,learner,22.4719101124,24.7191011236
EN_1_90.head.txt,38.7096774194,EN,learner,38.7096774194,41.935483871
EN_1_92.head.txt,6.7226890756,EN,learner,6.7226890756,6.7796610169
EN_1_96.head.txt,4,EN,learner,4,24
EN_1_97.head.txt,4.1666666667,EN,learner,4.1666666667,3.8461538462
EN_1_98.head.txt,4.7619047619,EN,learner,4.7619047619,14.2857142857
EN_1_99.head.txt,5.8655221745,EN,learner,5.8655221745,9.5238095238
EN_2_7.head.txt,16.6666666667,EN,learner,16.6666666667,23.0769230769
EN_3_10.head.txt,0,EN,learner,0,0
EN_3_12.head.txt,0,EN,learner,0,0
EN_3_13.head.txt,12.5,EN,learner,12.5,12.5
EN_3_14.head.txt,0,EN,learner,0,16.6666666667
EN_3_15.head.txt,17.0886075949,EN,learner,17.0886075949,16.6666666667
EN_3_2.head.txt,0,EN,learner,0,0
EN_3_4.head.txt,4,EN,learner,4,4.1666666667
EN_3_5.head.txt,15,EN,learner,15,15
EN_3_6.head.txt,3.8461538462,EN,learner,3.8461538462,0
EN_3_7.head.txt,11.1111111111,EN,learner,11.1111111111,10.5263157895
EN_3_8.head.txt,8.3333333333,EN,learner,8.3333333333,9.0909090909
EN_3_9.head.txt,9.0909090909,EN,learner,9.0909090909,0
EN_4_16.head.txt,0,EN,learner,0,5
EN_4_17.head.txt,9.5238095238,EN,learner,9.5238095238,13.6363636364
EN_4_18.head.txt,0,EN,learner,0,28.5714285714
EN_4_19.head.txt,7.6923076923,EN,learner,7.6923076923,21.4285714286
EN_4_25.head.txt,16,EN,learner,16,21.7391304348
EN_4_26.head.txt,10.7142857143,EN,learner,10.7142857143,10.3448275862
EN_4_32.head.txt,11.0458284371,EN,learner,11.0458284371,11.2709832134
EN_4_33.head.txt,11.1111111111,EN,learner,11.1111111111,11.1111111111
EN_4_34.head.txt,18.8679245283,EN,learner,18.8679245283,33.3333333333
EN_4_35.head.txt,17.6470588235,EN,learner,17.6470588235,24.2424242424
EN_4_36.head.txt,12.8205128205,EN,learner,12.8205128205,15.3846153846
EN_4_37.head.txt,6.2992125984,EN,learner,6.2992125984,12.4031007752
EN_4_38.head.txt,18.3333333333,EN,learner,18.3333333333,20.3389830508
EN_4_39.head.txt,12,EN,learner,12,15.6862745098
EN_4_40.head.txt,11.3895216401,EN,learner,11.3895216401,10.502283105
EN_4_42.head.txt,9.0909090909,EN,learner,9.0909090909,9.375
EN_4_43.head.txt,17.6470588235,EN,learner,17.6470588235,25
EN_4_44.head.txt,11.1111111111,EN,learner,11.1111111111,7.4074074074
EN_4_45.head.txt,9.8039215686,EN,learner,9.8039215686,9.2592592593
EN_4_47.head.txt,14.9253731343,EN,learner,14.9253731343,8.8235294118
EN_4_5.head.txt,15.7894736842,EN,learner,15.7894736842,31.5789473684
EN_4_7.head.txt,22.2222222222,EN,learner,22.2222222222,20
EN_5_4.head.txt,20.8333333333,EN,learner,20.8333333333,19.2307692308
EN_5_5.head.txt,0,EN,learner,0,9.0909090909
EN_5_6.head.txt,11.1111111111,EN,learner,11.1111111111,0
EN_5_9.head.txt,6.6666666667,EN,learner,6.6666666667,16.6666666667
EN_6_10.head.txt,10.1123595506,EN,learner,10.1123595506,17.3469387755
EN_6_2.head.txt,7.1428571429,EN,learner,7.1428571429,0
EN_6_22.head.txt,0,EN,learner,0,0
EN_6_3.head.txt,21.7391304348,EN,learner,21.7391304348,9.5238095238
RU_1_100_1.head.txt,23.0769230769,RU,learner,,
RU_1_102_1.head.txt,35.7142857143,RU,learner,,
RU_1_106_1.head.txt,0,RU,learner,,
RU_1_114_1.head.txt,0,RU,learner,,
RU_1_116_1.head.txt,15.3846153846,RU,learner,,
RU_1_120_1.head.txt,21.0526315789,RU,learner,,
RU_1_122_1.head.txt,11.1111111111,RU,learner,,
RU_1_123_1.head.txt,11.7647058824,RU,learner,,
RU_1_124_1.head.txt,26.3157894737,RU,learner,,
RU_1_126_1.head.txt,0,RU,learner,,
RU_1_127_1.head.txt,9.0909090909,RU,learner,,
RU_1_128_1.head.txt,0,RU,learner,,
RU_1_129_1.head.txt,0,RU,learner,,
RU_1_130_1.head.txt,19.2307692308,RU,learner,,
RU_1_132_1.head.txt,30.4347826087,RU,learner,,
RU_1_133_1.head.txt,17.8571428571,RU,learner,,
RU_1_134_1.head.txt,11.1111111111,RU,learner,,
RU_1_136_1.head.txt,13.7931034483,RU,learner,,
RU_1_137_1.head.txt,6.8421052632,RU,learner,,
RU_1_139_1.head.txt,25.7352941176,RU,learner,,
RU_1_143_1.head.txt,0,RU,learner,,
RU_1_144_1.head.txt,12.5,RU,learner,,
RU_1_145_1.head.txt,11.1111111111,RU,learner,,
RU_1_146_1.head.txt,0,RU,learner,,
RU_1_147_1.head.txt,16.935483871,RU,learner,,
RU_1_148_1.head.txt,9.0909090909,RU,learner,,
RU_1_149_1.head.txt,36.3636363636,RU,learner,,
RU_1_169_1.head.txt,5.8823529412,RU,learner,,
RU_1_170_1.head.txt,10.3448275862,RU,learner,,
RU_1_172_1.head.txt,0,RU,learner,,
RU_1_174_1.head.txt,23.6842105263,RU,learner,,
RU_1_175_1.head.txt,31.25,RU,learner,,
RU_1_176_1.head.txt,6.1224489796,RU,learner,,
RU_1_178_1.head.txt,16.2790697674,RU,learner,,
RU_1_179_1.head.txt,26.2295081967,RU,learner,,
RU_1_180_1.head.txt,24.6153846154,RU,learner,,
RU_1_182_1.head.txt,25,RU,learner,,
RU_1_184_1.head.txt,25,RU,learner,,
RU_1_185_1.head.txt,22.7272727273,RU,learner,,
RU_1_19_1.head.txt,17.8571428571,RU,learner,,
RU_1_193_1.head.txt,15,RU,learner,,
RU_1_194_1.head.txt,17.6470588235,RU,learner,,
RU_1_196_1.head.txt,2.7777777778,RU,learner,,
RU_1_2_1.head.txt,10.2564102564,RU,learner,,
RU_1_200_1.head.txt,7.6923076923,RU,learner,,
RU_1_203_1.head.txt,16,RU,learner,,
RU_1_204_1.head.txt,10,RU,learner,,
RU_1_205_1.head.txt,13.6363636364,RU,learner,,
RU_1_206_1.head.txt,9.5238095238,RU,learner,,
RU_1_207_1.head.txt,21.4285714286,RU,learner,,
RU_1_208_1.head.txt,19.0476190476,RU,learner,,
RU_1_209_1.head.txt,21.0526315789,RU,learner,,
RU_1_210_1.head.txt,8.3333333333,RU,learner,,
RU_1_212_1.head.txt,4.1666666667,RU,learner,,
RU_1_22_1.head.txt,13.1578947368,RU,learner,,
RU_1_228_1.head.txt,18.75,RU,learner,,
RU_1_23_1.head.txt,6.25,RU,learner,,
RU_1_233_1.head.txt,18.75,RU,learner,,
RU_1_235_1.head.txt,55,RU,learner,,
RU_1_237_1.head.txt,22.2222222222,RU,learner,,
RU_1_24_1.head.txt,9.6774193548,RU,learner,,
RU_1_240_1.head.txt,10,RU,learner,,
RU_1_242_1.head.txt,0,RU,learner,,
RU_1_243_1.head.txt,15.0837988827,RU,learner,,
RU_1_244_1.head.txt,0,RU,learner,,
RU_1_245_1.head.txt,20,RU,learner,,
RU_1_246_1.head.txt,13.3333333333,RU,learner,,
RU_1_247_1.head.txt,19.5652173913,RU,learner,,
RU_1_248_1.head.txt,8,RU,learner,,
RU_1_25_1.head.txt,2.1276595745,RU,learner,,
RU_1_26_1.head.txt,26.6666666667,RU,learner,,
RU_1_260_1.head.txt,7.1428571429,RU,learner,,
RU_1_262_1.head.txt,15,RU,learner,,
RU_1_263_1.head.txt,45.4545454545,RU,learner,,
RU_1_264_1.head.txt,10.5263157895,RU,learner,,
RU_1_265_1.head.txt,29.1666666667,RU,learner,,
RU_1_266_1.head.txt,33.3333333333,RU,learner,,
RU_1_270_1.head.txt,5,RU,learner,,
RU_1_273_1.head.txt,37.037037037,RU,learner,,
RU_1_274_1.head.txt,22.2222222222,RU,learner,,
RU_1_28_1.head.txt,0,RU,learner,,
RU_1_283_1.head.txt,9.756097561,RU,learner,,
RU_1_286_1.head.txt,25.5813953488,RU,learner,,
RU_1_288_1.head.txt,8.1632653061,RU,learner,,
RU_1_289_1.head.txt,4.5454545455,RU,learner,,
RU_1_29_1.head.txt,13.3333333333,RU,learner,,
RU_1_290_1.head.txt,25,RU,learner,,
RU_1_292_1.head.txt,18.75,RU,learner,,
RU_1_293_1.head.txt,4.5454545455,RU,learner,,
RU_1_294_1.head.txt,5,RU,learner,,
RU_1_295_1.head.txt,8.1632653061,RU,learner,,
RU_1_296_1.head.txt,20,RU,learner,,
RU_1_297_1.head.txt,5,RU,learner,,
RU_1_298_1.head.txt,16.2162162162,RU,learner,,
RU_1_299_1.head.txt,12.5,RU,learner,,
RU_1_3_1.head.txt,9.756097561,RU,learner,,
RU_1_300_1.head.txt,15.3846153846,RU,learner,,
RU_1_302_1.head.txt,0,RU,learner,,
RU_1_303_1.head.txt,13.6363636364,RU,learner,,
RU_1_304_1.head.txt,19.0476190476,RU,learner,,
RU_1_305_1.head.txt,14.8148148148,RU,learner,,
RU_1_306_1.head.txt,20,RU,learner,,
RU_1_307_1.head.txt,15.7894736842,RU,learner,,
RU_1_309_1.head.txt,26.6666666667,RU,learner,,
RU_1_312_1.head.txt,5.5555555556,RU,learner,,
RU_1_313_1.head.txt,19.0476190476,RU,learner,,
RU_1_314_1.head.txt,14.7058823529,RU,learner,,
RU_1_315_1.head.txt,17.0731707317,RU,learner,,
RU_1_316_1.head.txt,0,RU,learner,,
RU_1_317_1.head.txt,0,RU,learner,,
RU_1_36_1.head.txt,0,RU,learner,,
RU_1_4_1.head.txt,13.6363636364,RU,learner,,
RU_1_40_1.head.txt,22.2222222222,RU,learner,,
RU_1_42_1.head.txt,7.6923076923,RU,learner,,
RU_1_43_1.head.txt,17.6470588235,RU,learner,,
RU_1_44_1.head.txt,38.0952380952,RU,learner,,
RU_1_45_1.head.txt,36.8421052632,RU,learner,,
RU_1_46_1.head.txt,5.9701492537,RU,learner,,
RU_1_47_1.head.txt,15.3846153846,RU,learner,,
RU_1_48_1.head.txt,0,RU,learner,,
RU_1_49_1.head.txt,14.9253731343,RU,learner,,
RU_1_5_1.head.txt,15.2173913043,RU,learner,,
RU_1_50_1.head.txt,15.625,RU,learner,,
RU_1_52_1.head.txt,10.5263157895,RU,learner,,
RU_1_53_1.head.txt,35.7142857143,RU,learner,,
