file,frequency,language,competence,source,target
EN_1_83.head.txt,18.1818181818,EN,learner,18.1818181818,0
EN_1_84.head.txt,8.6956521739,EN,learner,8.6956521739,0
EN_1_85.head.txt,0,EN,learner,0,0
EN_1_86.head.txt,0,EN,learner,0,9.0909090909
EN_1_88.head.txt,1.4150943396,EN,learner,1.4150943396,0.9389671362
EN_1_89.head.txt,0,EN,learner,0,0
EN_1_90.head.txt,0,EN,learner,0,0
EN_1_92.head.txt,2.5210084034,EN,learner,2.5210084034,1.6949152542
EN_1_96.head.txt,12,EN,learner,12,0
EN_1_97.head.txt,0,EN,learner,0,0
EN_1_98.head.txt,0,EN,learner,0,0
EN_1_99.head.txt,2.1459227468,EN,learner,2.1459227468,2.1645021645
EN_2_7.head.txt,0,EN,learner,0,0
EN_3_10.head.txt,0,EN,learner,0,7.1428571429
EN_3_12.head.txt,0,EN,learner,0,0
EN_3_13.head.txt,0,EN,learner,0,0
EN_3_14.head.txt,15.3846153846,EN,learner,15.3846153846,0
EN_3_15.head.txt,4.4303797468,EN,learner,4.4303797468,9.5238095238
EN_3_2.head.txt,0,EN,learner,0,8.3333333333
EN_3_4.head.txt,4,EN,learner,4,4.1666666667
EN_3_5.head.txt,0,EN,learner,0,0
EN_3_6.head.txt,7.6923076923,EN,learner,7.6923076923,3.8461538462
EN_3_7.head.txt,0,EN,learner,0,0
EN_3_8.head.txt,8.3333333333,EN,learner,8.3333333333,9.0909090909
EN_3_9.head.txt,0,EN,learner,0,9.0909090909
EN_4_16.head.txt,0,EN,learner,0,5
EN_4_17.head.txt,4.7619047619,EN,learner,4.7619047619,9.0909090909
EN_4_18.head.txt,0,EN,learner,0,0
EN_4_19.head.txt,0,EN,learner,0,0
EN_4_25.head.txt,8,EN,learner,8,8.6956521739
EN_4_26.head.txt,7.1428571429,EN,learner,7.1428571429,3.4482758621
EN_4_32.head.txt,7.1680376028,EN,learner,7.1680376028,8.5131894484
EN_4_33.head.txt,9.2592592593,EN,learner,9.2592592593,5.5555555556
EN_4_34.head.txt,1.8867924528,EN,learner,1.8867924528,0
EN_4_35.head.txt,5.8823529412,EN,learner,5.8823529412,3.0303030303
EN_4_36.head.txt,5.1282051282,EN,learner,5.1282051282,12.8205128205
EN_4_37.head.txt,3.1496062992,EN,learner,3.1496062992,3.8759689922
EN_4_38.head.txt,10,EN,learner,10,8.4745762712
EN_4_39.head.txt,4,EN,learner,4,3.9215686275
EN_4_40.head.txt,8.6560364465,EN,learner,8.6560364465,5.9360730594
EN_4_42.head.txt,12.1212121212,EN,learner,12.1212121212,9.375
EN_4_43.head.txt,0,EN,learner,0,0
EN_4_44.head.txt,14.8148148148,EN,learner,14.8148148148,14.8148148148
EN_4_45.head.txt,0,EN,learner,0,0
EN_4_47.head.txt,2.9850746269,EN,learner,2.9850746269,1.4705882353
EN_4_5.head.txt,10.5263157895,EN,learner,10.5263157895,0
EN_4_7.head.txt,0,EN,learner,0,5
EN_5_4.head.txt,0,EN,learner,0,0
EN_5_5.head.txt,6.8181818182,EN,learner,6.8181818182,2.2727272727
EN_5_6.head.txt,0,EN,learner,0,0
EN_5_9.head.txt,0,EN,learner,0,0
EN_6_10.head.txt,7.8651685393,EN,learner,7.8651685393,6.1224489796
EN_6_2.head.txt,0,EN,learner,0,0
EN_6_22.head.txt,0,EN,learner,0,0
EN_6_3.head.txt,4.347826087,EN,learner,4.347826087,4.7619047619
RU_1_100_1.head.txt,3.8461538462,RU,learner,,
RU_1_102_1.head.txt,14.2857142857,RU,learner,,
RU_1_106_1.head.txt,0,RU,learner,,
RU_1_114_1.head.txt,0,RU,learner,,
RU_1_116_1.head.txt,0,RU,learner,,
RU_1_120_1.head.txt,0,RU,learner,,
RU_1_122_1.head.txt,0,RU,learner,,
RU_1_123_1.head.txt,0,RU,learner,,
RU_1_124_1.head.txt,5.2631578947,RU,learner,,
RU_1_126_1.head.txt,23.0769230769,RU,learner,,
RU_1_127_1.head.txt,9.0909090909,RU,learner,,
RU_1_128_1.head.txt,0,RU,learner,,
RU_1_129_1.head.txt,5.2631578947,RU,learner,,
RU_1_130_1.head.txt,3.8461538462,RU,learner,,
RU_1_132_1.head.txt,0,RU,learner,,
RU_1_133_1.head.txt,0,RU,learner,,
RU_1_134_1.head.txt,0,RU,learner,,
RU_1_136_1.head.txt,3.4482758621,RU,learner,,
RU_1_137_1.head.txt,0.350877193,RU,learner,,
RU_1_139_1.head.txt,2.4509803922,RU,learner,,
RU_1_143_1.head.txt,0,RU,learner,,
RU_1_144_1.head.txt,12.5,RU,learner,,
RU_1_145_1.head.txt,0,RU,learner,,
RU_1_146_1.head.txt,11.7647058824,RU,learner,,
RU_1_147_1.head.txt,4.8387096774,RU,learner,,
RU_1_148_1.head.txt,0,RU,learner,,
RU_1_149_1.head.txt,0,RU,learner,,
RU_1_169_1.head.txt,11.7647058824,RU,learner,,
RU_1_170_1.head.txt,10.3448275862,RU,learner,,
RU_1_172_1.head.txt,5.2631578947,RU,learner,,
RU_1_174_1.head.txt,7.8947368421,RU,learner,,
RU_1_175_1.head.txt,15.625,RU,learner,,
RU_1_176_1.head.txt,0,RU,learner,,
RU_1_178_1.head.txt,2.3255813953,RU,learner,,
RU_1_179_1.head.txt,1.6393442623,RU,learner,,
RU_1_180_1.head.txt,4.6153846154,RU,learner,,
RU_1_182_1.head.txt,4.1666666667,RU,learner,,
RU_1_184_1.head.txt,0,RU,learner,,
RU_1_185_1.head.txt,9.0909090909,RU,learner,,
RU_1_19_1.head.txt,0,RU,learner,,
RU_1_193_1.head.txt,0,RU,learner,,
RU_1_194_1.head.txt,0,RU,learner,,
RU_1_196_1.head.txt,0,RU,learner,,
RU_1_2_1.head.txt,5.1282051282,RU,learner,,
RU_1_200_1.head.txt,0,RU,learner,,
RU_1_203_1.head.txt,24,RU,learner,,
RU_1_204_1.head.txt,5,RU,learner,,
RU_1_205_1.head.txt,0,RU,learner,,
RU_1_206_1.head.txt,0,RU,learner,,
RU_1_207_1.head.txt,3.5714285714,RU,learner,,
RU_1_208_1.head.txt,0,RU,learner,,
RU_1_209_1.head.txt,5.2631578947,RU,learner,,
RU_1_210_1.head.txt,4.1666666667,RU,learner,,
RU_1_212_1.head.txt,12.5,RU,learner,,
RU_1_22_1.head.txt,5.2631578947,RU,learner,,
RU_1_228_1.head.txt,0,RU,learner,,
RU_1_23_1.head.txt,12.5,RU,learner,,
RU_1_233_1.head.txt,6.25,RU,learner,,
RU_1_235_1.head.txt,10,RU,learner,,
RU_1_237_1.head.txt,16.6666666667,RU,learner,,
RU_1_24_1.head.txt,3.2258064516,RU,learner,,
RU_1_240_1.head.txt,5,RU,learner,,
RU_1_242_1.head.txt,0,RU,learner,,
RU_1_243_1.head.txt,3.3519553073,RU,learner,,
RU_1_244_1.head.txt,4.347826087,RU,learner,,
RU_1_245_1.head.txt,15,RU,learner,,
RU_1_246_1.head.txt,6.6666666667,RU,learner,,
RU_1_247_1.head.txt,8.6956521739,RU,learner,,
RU_1_248_1.head.txt,28,RU,learner,,
