file,mode,source,target,reference
en_4ps4_43,written,6.5743944637,17.0731707317,7.3333333333
en_5ps9_62,written,14.3171806167,22.6277372263,13.2
en_3ps7_37,written,7.5980392157,11.5384615385,18
en_5ps13_66,written,11.135371179,20.9090909091,11
en_4ps6_45,written,6.0393258427,17.793594306,31.5
en_6ps8_75,written,12.6272912424,19.1111111111,25.8333333333
en_4ps0_39,written,4.8780487805,15.1943462898,15.6666666667
en_5ps5_58,written,15.5763239875,17.6829268293,21.75
en_4ps8_47,written,5.8295964126,20.6140350877,43.7254901961
en_9ps5_117,written,13.6302294197,17.1428571429,35.7647058824
en_3ps6_36,written,6.3197026022,17.7215189873,26.2
en_2ps17_30,written,8.4158415842,23.7132352941,34.6666666667
en_12ps6_143,written,26.1538461538,17.7664974619,25.3246753247
en_1ps9_9,written,17.6684881603,22.7176220807,25.1336898396
en_6ps1_68,written,16.6666666667,10.3896103896,22.049689441
en_2ps13_26,written,2.4096385542,8.9108910891,36.5714285714
en_4ps9_48,written,1.9047619048,14.0869565217,19.4
en_2ps4_17,written,3.9473684211,34.6208869814,18.5
en_3ps3_33,written,5.1428571429,17.0212765957,29.1428571429
en_12ps4_141,written,27.5244299674,18.6708860759,8
en_1ps7_7,written,13.5714285714,6.8728522337,30.1666666667
en_2ps15_28,written,10.071942446,21.8867924528,22.6086956522
en_10ps5_127,written,10.2702702703,18.7755102041,41.4117647059
en_1ps5_5,written,15.8301158301,9.3145869947,10.6666666667
en_5ps11_64,written,14.6718146718,20.9090909091,27.2
en_2ps14_27,written,5,18.8202247191,16
en_2ps7_20,written,10.0371747212,20.8425720621,18.8
en_6ps14_81,written,13.0124777184,15.92039801,20.4
en_10ps1_123,written,8.4444444444,9.7643097643,37.6666666667
en_12ps5_142,written,30.5025996534,10.6666666667,8.25
en_6ps7_74,written,17.6470588235,14.2857142857,7.5
en_10ps3_125,written,10.8391608392,31.7567567568,17.2
en_8ps3_108,written,12.7853881279,27.7777777778,
en_9ps2_114,written,13.7082601054,16.313559322,
en_2ps11_24,written,7.3394495413,18.4615384615,
en_2ps3_16,written,9.6153846154,18.6111111111,
en_6ps4_71,written,9.900990099,3.738317757,
en_1ps3_3,written,11.3752122241,14.8230088496,
en_1ps8_8,written,18.6588921283,31.7034700315,
en_10ps7_129,written,7.5862068966,19.1428571429,
en_1ps1_1,written,9.0909090909,15.7894736842,
en_6ps13_80,written,9.5923261391,18.75,
en_5ps7_60,written,17.2297297297,23.0636833046,
en_2ps1_14,written,4.5454545455,21.1009174312,
en_29_ted,spoken,11.7647058824,6.0344827586,23.0088495575
en_92_ted,spoken,2.994011976,6.880733945,16.814159292
en_47_ted,spoken,26.1467889908,19.0909090909,31.8584070796
en_96_ted,spoken,5.2325581395,7.3170731707,32.7433628319
en_39_ted,spoken,3.3613445378,12.101910828,34.5132743363
en_7_ted,spoken,7.0351758794,6.4,30.0884955752
en_9_ted,spoken,4.7058823529,11.4457831325,15.0442477876
en_91_ted,spoken,6.9306930693,5.612244898,15.0442477876
en_99_ted,spoken,9.375,11.2582781457,28.3185840708
en_67_ted,spoken,17.5675675676,9.3406593407,20.3539823009
en_10_ted,spoken,3.7313432836,11.9691119691,25.6637168142
en_44_ted,spoken,3.0418250951,24.0601503759,36.2831858407
en_25_ted,spoken,4.8484848485,9.2592592593,24.7787610619
en_73_ted,spoken,9.5505617978,7.0921985816,22.1238938053
en_53_ted,spoken,7.3825503356,17.4698795181,32.7433628319
en_43_ted,spoken,5.078125,5.7851239669,16.814159292
en_54_ted,spoken,4.8582995951,15.3846153846,40.7079646018
en_58_ted,spoken,4.8192771084,8.275862069,26.5486725664
en_80_ted,spoken,6.5359477124,6.0975609756,21.2389380531
en_97_ted,spoken,6.3694267516,2.5210084034,9.7345132743
en_69_ted,spoken,5.5555555556,6.0606060606,21.2389380531
en_24_ted,spoken,14.5454545455,7.1428571429,23.0088495575
en_57_ted,spoken,11.7647058824,12.213740458,21.2389380531
en_32_ted,spoken,6.9892473118,5.9322033898,3.5398230088
en_50_ted,spoken,5.6074766355,6.25,23.0088495575
en_19_ted,spoken,7.1428571429,8.2568807339,34.5132743363
en_61_ted,spoken,4.1237113402,20.1612903226,29.203539823
en_48_ted,spoken,18.5792349727,5.0314465409,30.0884955752
en_100_ted,spoken,5.3097345133,7.7348066298,25.6637168142
en_45_ted,spoken,8.3333333333,12.8834355828,25.6637168142
en_26_ted,spoken,13.4453781513,8.5365853659,30.9734513274
en_8_ted,spoken,5.5214723926,4.4247787611,16.814159292
en_33_ted,spoken,13.698630137,10.8571428571,15.9292035398
en_62_ted,spoken,9.693877551,7.4380165289,16.814159292
en_15_ted,spoken,10.2564102564,9.219858156,19.4690265487
en_81_ted,spoken,14.4444444444,6.5693430657,11.5044247788
en_79_ted,spoken,2.5,12.9411764706,32.7433628319
en_65_ted,spoken,3.7914691943,7.2874493927,27.4336283186
en_74_ted,spoken,2.7397260274,10.2040816327,34.5132743363
en_72_ted,spoken,12.2699386503,11.8421052632,34.6456692913
en_85_ted,spoken,13.3333333333,18.1347150259,34.5132743363
en_98_ted,spoken,14.1935483871,4.2253521127,22.1238938053
en_37_ted,spoken,7.0512820513,15.0326797386,17.6991150442
en_82_ted,spoken,5.5335968379,11.1111111111,25.6637168142
en_90_ted,spoken,20.3125,18.018018018,13.2743362832
en_52_ted,spoken,9.8159509202,6.2827225131,23.8938053097
en_42_ted,spoken,16.3120567376,26.2886597938,7.9646017699
en_21_ted,spoken,1.9801980198,13.2183908046,26.5486725664
en_40_ted,spoken,9.8684210526,10.4651162791,13.2743362832
en_77_ted,spoken,4.8672566372,12.2340425532,28.3185840708
en_86_ted,spoken,8.6363636364,5.9440559441,61.9469026549
en_4_ted,spoken,5.3475935829,16.8888888889,35.3982300885
en_70_ted,spoken,7.4074074074,7.4626865672,21.2389380531
en_23_ted,spoken,10.1796407186,17.1171171171,24.7787610619
en_63_ted,spoken,7.9136690647,4.0462427746,25.6637168142
en_84_ted,spoken,10.3174603175,7.7669902913,37.1681415929
en_28_ted,spoken,7.8651685393,16.7664670659,22.1238938053
en_51_ted,spoken,10.843373494,6.4516129032,33.6283185841
en_35_ted,spoken,9.8765432099,12.2529644269,38.0530973451
en_36_ted,spoken,8.5714285714,5.5555555556,34.5132743363
