file,mode,source,target,reference
en_45_ted,spoken,5.7692307692,6.5476190476,6.1946902655
en_46_ted,spoken,6.8322981366,5.9523809524,5.3097345133
en_47_ted,spoken,12.7853881279,9.5238095238,3.5398230088
en_48_ted,spoken,12.5,7.960199005,7.9646017699
en_49_ted,spoken,4.9773755656,2.9661016949,14.1732283465
en_5_ted,spoken,11.214953271,6.4285714286,6.1946902655
en_50_ted,spoken,10.2803738318,8.1818181818,17.6991150442
en_51_ted,spoken,11.2903225806,6.1302681992,4.4247787611
en_52_ted,spoken,9.756097561,6.1349693252,20.3539823009
en_53_ted,spoken,11.3333333333,5.1612903226,7.9646017699
en_54_ted,spoken,6.0975609756,3.5856573705,13.2743362832
en_55_ted,spoken,5.5118110236,5.5335968379,5.3097345133
en_56_ted,spoken,3.5087719298,1.2765957447,1.7699115044
en_57_ted,spoken,8.8235294118,7.2072072072,7.0796460177
en_58_ted,spoken,1.8072289157,3.1746031746,2.6548672566
en_59_ted,spoken,3.8674033149,2.7027027027,5.3097345133
en_6_ted,spoken,13.7724550898,6.2176165803,8.8495575221
en_60_ted,spoken,2.7649769585,2.2321428571,3.5398230088
en_61_ted,spoken,3.0769230769,1.0101010101,5.3097345133
en_62_ted,spoken,10.2040816327,8.9005235602,17.6991150442
en_63_ted,spoken,7.1428571429,2.2598870056,6.1946902655
en_64_ted,spoken,5.9322033898,2.6315789474,14.1592920354
en_65_ted,spoken,4.7393364929,3.431372549,11.5044247788
en_66_ted,spoken,7.7586206897,5.5118110236,5.3097345133
en_67_ted,spoken,10.8108108108,14.4578313253,5.3097345133
en_68_ted,spoken,6.1224489796,2.1126760563,2.6548672566
en_69_ted,spoken,7.4074074074,2.7027027027,9.7345132743
en_7_ted,spoken,12.0603015075,11.0599078341,14.1592920354
en_70_ted,spoken,4.6296296296,3.8095238095,5.3097345133
en_71_ted,spoken,2,3.2258064516,6.1946902655
en_72_ted,spoken,11.0429447853,9.0909090909,9.7345132743
en_73_ted,spoken,5.6179775281,3.0456852792,1.7699115044
en_74_ted,spoken,5.4794520548,3.488372093,10.6194690265
en_75_ted,spoken,18.4931506849,11.4649681529,4.4247787611
en_76_ted,spoken,1.5037593985,1.4705882353,12.389380531
en_77_ted,spoken,3.0973451327,2.0979020979,6.1946902655
en_78_ted,spoken,2.6086956522,2.4590163934,7.9646017699
en_79_ted,spoken,2.5,4.9180327869,9.7345132743
en_8_ted,spoken,7.8787878788,8.8235294118,4.4247787611
en_80_ted,spoken,8.2278481013,3.1746031746,17.6991150442
en_81_ted,spoken,13.3333333333,5.7471264368,8.8495575221
en_82_ted,spoken,4.347826087,4.6979865772,11.5044247788
en_83_ted,spoken,6.1946902655,3.2258064516,5.3097345133
en_84_ted,spoken,2.380952381,2.4390243902,7.9646017699
en_85_ted,spoken,5.4545454545,2.9585798817,16.814159292
en_86_ted,spoken,10.4545454545,9.8712446352,5.3097345133
en_87_ted,spoken,3.0769230769,2.2900763359,9.7345132743
en_88_ted,spoken,5.5555555556,4.7619047619,11.5044247788
en_89_ted,spoken,7.4074074074,9.2857142857,7.0796460177
en_9_ted,spoken,3.5294117647,6.936416185,9.7345132743
en_90_ted,spoken,5.46875,2.380952381,8.8495575221
en_91_ted,spoken,2.9702970297,3.738317757,0
en_92_ted,spoken,4.7904191617,3.0487804878,7.9646017699
en_93_ted,spoken,4.8611111111,3.2894736842,5.3097345133
en_94_ted,spoken,1.9607843137,2.4242424242,2.6548672566
en_95_ted,spoken,7.9136690647,4.8275862069,9.7345132743
en_96_ted,spoken,4.0697674419,2.9069767442,6.1946902655
en_97_ted,spoken,3.821656051,3.821656051,4.4247787611
en_98_ted,spoken,9.6774193548,4.2424242424,2.6548672566
en_99_ted,spoken,10.15625,4.5801526718,4.4247787611
